,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34
location,4605.0,4931.0,30217.0,30721.0,38840.0,39665.0,40366.0,40912.0,54081.0,55733.0,63136.0,67422.0,72542.0,97862.0,155222.0,160404.0,165225.0,165672.0,168762.0,169131.0,169261.0,194046.0,195064.0,218732.0,221621.0,225169.0,236019.0,239441.0,279350.0,320102.0,320435.0,320829.0,330235.0,355370.0,363530.0
score,0.8626712581733754,0.9998419302549242,0.9990342176451597,0.7748783393294998,0.6128623030862868,0.8608703732256029,0.9995194556811057,0.648487753022809,0.999845740226485,0.5349781079697962,0.9966939051077489,0.9134038781525841,0.9999924838925054,0.770654030179873,0.5903795752386114,0.5614902914227146,0.813909221629861,0.9987520055778758,0.997610725623998,0.9979441181790519,0.9979441181790519,0.9323783419183154,0.9999824731729063,0.9895448833542387,0.9694388599704221,0.9219407186596007,0.9286350902735674,0.881910313974012,0.738791558282032,0.9999953407497969,0.9999953407497969,0.8780181604508105,0.9999979724779614,0.9999299686510901,0.9999978526625681
amplitude,-3.8384639981115214,-15.148024738917798,-9.824137840807623,-9.60034914445879,-8.683467942361077,-3.0531581886033337,-12.848865038554166,-8.13586876039443,-13.44714885981864,-8.813404950654657,-12.013732883302026,-9.329389993734821,-16.129210389811362,-2.0654438812785827,-0.8046422236177762,-7.5771363466159585,-1.6697582887670421,-14.969357372072054,-13.505181138378347,-7.030478880102322,-12.898832950013542,-0.15349498384888705,-48.941070302291905,-7.932754509366504,-1.9129018449778812,-1.7237319517585377,-0.8259738953164657,-0.9640512448780214,-4.345803160453869,-26.826850147191834,-9.651628930088407,-1.0038462238471624,-22.48500769069669,-11.610190220563737,-60.80140907825035
charge,-0.0071767184610788196,-0.2013970916550875,-0.03809968017728056,-0.05255475736637277,-0.03214002510421066,0.004405954427739859,-0.07434378762218596,-0.03960676426650772,-0.09332712622069318,-0.07795137497346766,-0.08142816546241069,-0.0648854672448023,-0.1033659230943302,-0.0028487511107040137,0.00041288514914547574,-0.034587110965400396,-0.0029599527848638597,-0.1550334257847822,-0.08943661863167196,-0.05885682326097149,-0.05885682326097149,0.0004008501851619965,-0.5412924186393011,-0.0342808963914838,-0.002843319334863781,-7.093715650795333e-05,0.001389147588811496,-0.0005367500964346114,-0.012394094667298893,-0.10974084860524577,-0.032057006115394034,6.709076370105899e-05,-0.09186367033860987,-0.053207302175466625,-0.6280818553853403
risetime,0.0007,0.0006500000000000001,0.00045000000000000004,0.0015,0.0023,0.00025,0.0008,0.00115,0.0010500000000000002,0.0008500000000000001,0.0009000000000000001,0.0006000000000000001,0.00125,0.00045000000000000004,0.0001,0.0012000000000000001,0.00135,0.0015,0.00285,0.0008500000000000001,0.00125,8e-05,0.001,0.00095,0.0006500000000000001,0.00030000000000000003,0.00015000000000000001,0.0002,0.0017000000000000001,0.0008,0.00205,0.00015000000000000001,0.00095,0.0008500000000000001,0.0010500000000000002
decaytime,0.0006500000000000001,0.0083,0.00185,0.003,0.0012000000000000001,0.0014,0.00245,0.00255,0.0038,0.0049,0.0026000000000000003,0.00475,0.0034500000000000004,0.0008,0.00025,0.0019,0.00030000000000000003,0.0051,0.00365,0.00255,0.0021000000000000003,0.00015000000000000001,0.006200000000000001,0.0021000000000000003,0.00035,0.0002,0.0009000000000000001,0.00030000000000000003,0.0008500000000000001,0.0021000000000000003,0.0022500000000000003,0.00025,0.00185,0.0034000000000000002,0.0066500000000000005
